"featureId","correlation","log10_pvalue"
"Conciseness","0.52290621497476319","-46.728008532570698"
"Popularity","0.45046201288991555","-33.469553181184345"
"Descriptiveness","0.40972030174692503","-27.299794662418172"
"Formality","0.51360938215499441","-44.843461207899871"
"Richness","0.6388017429647862","-76.007758960082441"
"Attractiveness","0.51639238667890142","-45.401504138459124"
"Technicality","0.28955790778752516","-13.44934128041103"
"Novelty","0.44389282095785504","-32.417150395952852"
"Subjectivity","0.21878079297127492","-7.8458362272406363"
"Referencing","0.49269740336918127","-40.810945847373652"
"Completeness","0.70987994340442673","-101.22028369559935"
"PositiveEmotion","0.26764066523928798","-11.530113567288629"
"Fluency","0.68686129817758657","-92.260594581056679"
"NegativeEmotion","0.16832761209548577","-4.8475362742461527"
